Hour,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Arson,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling Violations,Homicide - Criminal,Homicide - Gross Negligence,Homicide - Justifiable,Liquor Law Violations,Motor Vehicle Theft,Narcotic / Drug Law Violations,Offenses Against Family and Children,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Public Drunkenness,Rape,Receiving Stolen Property,Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations,Total events
0,1896,3667,55389,434,494,3698,5013,2031,42,73,1099,14,254,0,4,382,1387,4518,71,11060,388,387,353,517,26,2983,3195,2600,3396,4768,248,7644,965,119042
1,1680,3315,39364,422,586,2502,6471,2097,31,57,680,7,253,1,5,328,1158,3553,60,8704,287,1130,468,400,35,2551,2562,2111,2766,3494,174,6062,873,94198
2,1398,3008,19736,417,667,1752,7143,2108,13,33,504,5,243,1,1,225,936,2376,72,7085,240,281,455,397,16,1869,2046,1900,2779,2704,156,5318,673,66566
3,1078,2244,10814,395,723,1553,5016,1076,6,19,400,1,128,0,3,127,797,1492,48,5170,168,175,226,371,14,1634,1602,1491,2298,2104,117,4262,451,46011
4,626,1580,5479,351,737,1196,2731,524,17,10,237,0,89,0,0,65,725,802,23,3601,131,98,111,332,6,1347,1203,1137,1795,1484,117,3066,249,29887
5,392,1086,3060,310,804,1047,1250,261,20,8,237,0,67,0,2,14,873,519,25,2461,140,50,47,263,9,1267,909,806,2404,1252,106,2768,141,22603
6,267,826,1998,149,766,893,437,170,22,20,310,0,66,0,1,6,973,384,25,2041,118,17,22,220,9,1271,574,683,4514,1363,189,3583,110,22028
7,258,1041,2795,123,1318,1593,274,252,55,60,847,0,56,0,0,4,1735,537,20,3222,201,8,20,217,10,2409,481,791,9268,3029,196,6805,170,37805
8,417,1736,6507,178,2934,3952,358,629,140,121,2542,11,45,5,0,12,3412,1487,56,8154,515,9,30,367,23,5389,679,1246,13863,7167,126,12241,925,75288
9,572,2222,10808,162,2623,4653,507,1162,240,218,5565,6,52,1,1,38,3350,3282,89,11971,806,178,36,436,46,6324,865,1760,13017,10919,179,12520,1342,95971
10,725,2596,13003,168,2130,4979,543,1479,340,293,8012,17,73,0,4,77,3099,4449,100,13534,894,596,88,520,38,6382,1014,1932,11936,13857,174,11942,1064,106098
11,813,2805,14829,181,1818,5371,568,1804,456,396,9483,73,85,1,4,88,3035,5551,90,14763,833,628,133,548,49,6283,1055,2086,11247,16131,217,11170,938,113555
12,928,3028,13871,188,1318,5434,611,1842,402,416,10050,93,88,0,0,64,2774,5738,80,15534,928,502,106,567,54,6171,1209,2292,10570,17702,176,10397,823,113985
13,1043,3036,13076,195,1129,5289,580,1786,446,412,10262,99,92,0,0,71,2542,6171,83,16131,891,255,145,617,44,5921,1177,2344,9597,18821,200,9676,849,113005
14,930,2675,11391,161,695,3857,557,1507,345,360,8865,70,111,0,1,88,1865,6267,83,13504,791,132,109,488,31,4360,1195,2230,8687,16843,211,8347,732,97512
15,1059,3117,10865,129,684,4387,508,2129,424,310,9240,43,125,0,2,65,1967,5896,79,15269,987,80,123,630,26,3844,1234,2561,8701,18548,256,8547,558,102424
16,1305,3953,16013,175,826,7942,905,2072,514,435,10866,62,135,0,1,140,2752,6803,125,20373,1183,71,206,750,39,5761,1372,3161,9864,23448,433,11407,601,133738
17,1351,3814,16944,159,610,6960,1272,2033,347,398,9434,109,138,1,2,83,2564,8137,115,18208,1102,67,212,703,40,5610,1457,2858,8839,20643,407,10590,651,125895
18,1493,3757,16127,151,472,6201,1615,2082,244,315,7376,67,141,1,3,193,2267,9976,120,17085,978,62,239,620,48,4929,1756,2900,8037,18349,463,9986,702,118810
19,1643,3903,18384,183,390,5532,2146,2888,180,265,6141,80,187,0,1,552,2046,14047,115,16333,951,165,280,682,53,4660,2130,2967,7031,16108,676,9795,1030,121618
20,1774,3923,18267,225,368,4942,2709,2886,141,242,4813,74,222,0,2,866,1788,14389,93,15755,965,420,322,651,46,4226,2612,3013,6138,13896,706,9405,1236,117192
21,1952,3991,22068,232,344,4407,3433,2795,103,172,3404,32,261,1,2,840,1663,13012,86,14543,826,1553,304,570,44,3842,3072,3029,5066,10278,607,8890,1314,112752
22,2029,3554,44834,246,321,2866,3987,2373,69,104,1886,31,240,0,1,597,1203,10499,65,11020,501,3505,299,433,40,2814,3357,2716,4077,6590,385,7596,1362,119620
23,2032,3544,49854,309,425,2973,4116,1812,45,79,1302,13,268,0,0,489,1183,6714,65,10002,376,2446,257,464,25,2339,3325,2628,3649,5216,221,7318,1147,114653
Total,27661,68421,435476,5643,23182,93979,52750,39798,4642,4816,113555,907,3419,12,40,5414,46094,136599,1788,275523,15200,12815,4591,11763,771,94186,40081,51242,169539,254714,6740,199335,18906,2220256